"","AI2_1_D","AI2_1_M","AI2_2_D","AI2_2_M","AI2_3_D","AI2_3_M","AI2_7_D","AI2_7_M","AI2_9_D","AI2_9_M","AI2_10_D","AI2_10_M","AI2_12_D","AI2_12_M","AI4_1_D","AI4_1_M","AI4_5_D","AI4_5_M","AI4_6_D","AI4_6_M","AI4_7_D","AI4_7_M","AI4_8_D","AI4_8_M","AI4_9_D","AI4_9_M","AI4_10_D","AI4_10_M","AI6_2_D","AI6_2_M","AI6_4_D","AI6_4_M","AI6_5_D","AI6_5_M","AI6_6_D","AI6_6_M","AI6_10_D","AI6_10_M","AI6_11_D","AI6_11_M","AI6_12_D","AI6_12_M","AI7_1_D","AI7_1_M","AI7_2_D","AI7_2_M","AI7_3_D","AI7_3_M","AI7_4_D","AI7_4_M","AI7_5_D","AI7_5_M","AI7_10_D","AI7_10_M","AI7_11_D","AI7_11_M","GH2_1_D","GH2_1_M","GH2_2_D","GH2_2_M","GH2_3_D","GH2_3_M","GH2_10_D","GH2_10_M","GH2_11_D","GH2_11_M","GH3_2_D","GH3_2_M","GH3_3_D","GH3_3_M","GH3_6_D","GH3_6_M","GH3_7_D","GH3_7_M","GH3_9_D","GH3_9_M","GH3_10_D","GH3_10_M","GH4_2_D","GH4_2_M","GH4_3_D","GH4_3_M","GH4_4_D","GH4_4_M","GH4_5_D","GH4_5_M","GH4_6_D","GH4_6_M","GH4_7_D","GH4_7_M","GH4_10_D","GH4_10_M","GH4_11_D","GH4_11_M","GH4_12_D","GH4_12_M","GH5_2_D","GH5_2_M","GH5_3_D","GH5_3_M","GH5_4_D","GH5_4_M","GH5_6_D","GH5_6_M","GH5_7_D","GH5_7_M","GH5_10_D","GH5_10_M","VH4_4_D","VH4_4_M","VH4_6_D","VH4_6_M","VH4_7_D","VH4_7_M","VH4_8_D","VH4_8_M","VH4_11_D","VH4_11_M","VH4_12_D","VH4_12_M","VH5_2_D","VH5_2_M","VH5_5_D","VH5_5_M","VH5_6_D","VH5_6_M","VH5_8_D","VH5_8_M","VH5_9_D","VH5_9_M","VH5_11_D","VH5_11_M","VH6_1_D","VH6_1_M","VH6_2_D","VH6_2_M","VH6_3_D","VH6_3_M","VH6_4_D","VH6_4_M","VH6_5_D","VH6_5_M","VH6_7_D","VH6_7_M","VH6_8_D","VH6_8_M","VH6_9_D","VH6_9_M","VH6_10_D","VH6_10_M","VH6_11_D","VH6_11_M","VH6_12_D","VH6_12_M"
"ASV_7795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,5,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,5,114,0,166,0,145,0,9,17,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_5844",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,26,48,11,749,37,5,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,225,45,45,0,560,147,26,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,30,0,0,0,0,0,0,0,0,0,0,2,0,0,0,357,25,26,23,4,0,0,0,368,202,0,0,0,0,97,15,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_3023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_554",0,0,65,71,56,0,0,0,0,39,0,0,3,0,0,0,0,0,21,0,39,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,10,83,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,13,0,82,0,61,0,0,0,0,0,19,0,0,0,0,0,62,0,37,0,10,0,0,0,45,0,0,0,0,65,0,0,0,0,0,0,40,0,34,29,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_3258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_14972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2774",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
