"","AI2_1_D","AI2_1_M","AI2_2_D","AI2_2_M","AI2_3_D","AI2_3_M","AI2_7_D","AI2_7_M","AI2_9_D","AI2_9_M","AI2_12_D","AI2_12_M","AI4_1_D","AI4_1_M","AI4_5_D","AI4_5_M","AI4_6_D","AI4_6_M","AI4_7_D","AI4_7_M","AI4_8_D","AI4_8_M","AI4_9_D","AI4_9_M","AI4_10_D","AI4_10_M","AI6_2_D","AI6_2_M","AI6_4_D","AI6_4_M","AI6_5_D","AI6_5_M","AI6_6_D","AI6_6_M","AI6_10_D","AI6_10_M","AI6_11_D","AI6_11_M","AI6_12_D","AI6_12_M","AI7_1_D","AI7_1_M","AI7_2_D","AI7_2_M","AI7_3_D","AI7_3_M","AI7_4_D","AI7_4_M","AI7_5_D","AI7_5_M","AI7_10_D","AI7_10_M","AI7_11_D","AI7_11_M"
"ASV_1291",0,0,0,0,0,0,0,0,0,0,0,0,0.00277008310249307,0,0,8.07884957182097e-05,0.00145182241919462,0,0.00186280340691033,0,0.00125569392244142,0,0.00139060568603214,0.000817150547971544,0.00122077028885832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000980616897175314,0.000946693853772211,0.000538641948986119,0.00207860922146636,0.00648630860626635,0.000894519256340207,0.000772558714462299,0,0.0015990371389271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_554",0,0,0.000903807113657221,0.0018159032200312,0.00160105211996455,0,0,0,0,0.0021945866861741,0.00298507462686567,0,0,0,0,0,0.000267440971956904,0,0.000437646583551221,0,0,0,0,0,0,0,0,0,0.000614817091915155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001044947036931,0,0,0.000154853895349738,0.00103691673433694,0,0,0,0.000109323832098471,0
"ASV_583",0.00130407665702784,0,0.00147390083150254,0.00079285915240799,0.00220144666495125,0.00191625946153109,0.000536824877250409,0,0.00215484069570571,0.00241967250014068,0,0,0,0,0,0,0,0,0.000157103901787618,0,0,0,0,0,0,0,0,0,0.000652078733849407,0,0,0,0.000775858075871972,0.00116893812597965,0,0,0.000737586750259832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1234",0,0,0.000458855919241358,0,0,0,0,0,0.00172387255656457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00163019683462352,0.000464489758000836,0,0,0.00094955764509704,0,0,0,0.00191102021658229,0.00142033859566062,0,0,0,0,0,0,7.87288863441168e-05,0,0,0,0,0,0,0,0,0
"ASV_663",0.000226795940352668,0,0.00205789927417336,0.00514079643980664,0.00294479229207765,0.00427964613075277,0.00424222585924714,0.0103092783505155,0.00344774511312914,0.00557087389567272,0.00398009950248756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4423",0,0,0,0,0,0,0.000183306055646481,0,0.00160073880252424,0.0012942434303078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1396",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00128552664673169,0.000209020391100376,0,0,0.00192227523275742,0.00108923779920831,0,0,0.00124048680725517,0.000391817543630516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1587",0,0,0.000528379543368837,0.00125322898283844,0.000400263029991137,0.00108588036153429,0.000995090016366612,0,0.00166230567954441,0.000562714534916437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1556",0,0,0,0,0,0,0,0,0,0.0012942434303078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000167677388704133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1834",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000862139748747845,0,0.0005030321661124,0,0,0,0.000162119597943397,0.000398501633856699,0,0,0.00194454688704865,0.000375491812645911,0.00156317846287451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_545",0.000283494925440835,0,0.00442170249450763,0.00849126576127267,0.00923463990622409,0.00344926703075596,0.00168903436988543,0,0.00289364321994767,0.00174441505824095,0.00497512437810945,0.000210475675025558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1677",0,0,0,0,0,0,0,0,0,0,0,0.000330747489325876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123162821249692,0,0.000763863659652163,0.000325142830600585,0,0.000172316175565566,0.000196859511788411,0,0,0,0.00185234854326617,0.00094689239710708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000735139676538542,0,0,0,0.00443098737168599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_262",0,0,0.00589560332601018,0.00281337118596384,0.0112931354890357,0.0191625946153109,0.00563011456628478,0,0.0130521779282746,0.00782173203533847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1383",0,0,0,0,0,0,0.000379705400981997,0,0,0,0,0.000511155210776355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00172427949749569,0,9.31541048356296e-05,0,0.0049399699849925,0.000960047263865298,0,0,0,0,3.3526670466356e-05,0,0,0,5.65761717329281e-05,9.31125789274595e-05,0,0,0.000636988262238763,0.000732136571629708,0,0.000201310063954659,0.000199887563245674,0.000645369474023879,0,0,0,0
