"","GH2_1_D","GH2_1_M","GH2_2_D","GH2_2_M","GH2_3_D","GH2_3_M","GH2_10_D","GH2_10_M","GH2_11_D","GH2_11_M","GH3_2_D","GH3_2_M","GH3_3_D","GH3_3_M","GH3_6_D","GH3_6_M","GH3_7_D","GH3_7_M","GH3_9_D","GH3_9_M","GH3_10_D","GH3_10_M","GH4_2_D","GH4_2_M","GH4_3_D","GH4_3_M","GH4_4_D","GH4_4_M","GH4_5_D","GH4_5_M","GH4_6_D","GH4_6_M","GH4_7_D","GH4_7_M","GH4_10_D","GH4_10_M","GH4_11_D","GH4_11_M","GH4_12_D","GH4_12_M","GH5_2_D","GH5_2_M","GH5_3_D","GH5_3_M","GH5_4_D","GH5_4_M","GH5_6_D","GH5_6_M","GH5_7_D","GH5_7_M","GH5_10_D","GH5_10_M"
"ASV_129",0,0.000280850665460049,0.00278592920025259,0.00729690287011513,0.000358934681864227,0,0.00374820119808574,0.00412921348314607,0.000424801895269994,0.000782547810925466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000813373494423378,0.00020149780031568,0,0,0,0,0,0,0,0
"ASV_554",0,0,0,0,0,0,0,0,0,0,5.6953096934171e-05,0,0.00849212924606462,0,0.000700384637464837,0,0,0,0,0,0.000151020181065249,0,0,0,0,0,0.000224506718906725,0,0.000184788417262235,0,0.00064077918749199,0,0,0,0.000300800128341388,0,0,0,0,0.000263903662982842,0,0,0,0,0,0,0.000330603102710119,0,0.000138223181653718,0.000387115720902914,0.000421870997875578,0
"ASV_1028",0,0,0,0,0,0,0,0,0,0,0,3.55928885408695e-05,0.0034175642087821,0.000613967766692249,0.000505195476204145,0.000390716574197077,0,0.0040073246463735,0,0,0.000357679376207168,8.87154009936125e-05,0,0,0,0,3.62107611139879e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000181987676834454,0,0,0,0,0,0,0,0.000226002320290488,0
"ASV_583",0,0,0,0,0,0,0.000508684448311636,0,0,0,0,0,0.00238193869096935,0,0,0,0,0,0,0,0,0,0,0,0,0,5.43161416709818e-05,0,0,0,0,0,0,0,0,0,0,0,9.35071006954591e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1216",0,0,0,0,0,0,0,0,0,0,3.06670521953228e-05,0,0.00144987572493786,0,0.000264079453470348,0,0,0.000106154295268172,0,0,0,0,0,0,0.000285015319573427,0,0.000159327348901547,2.69770829680187e-05,1.49828446428839e-05,0,0,0,3.38892788845586e-05,0,0.000300800128341388,0,0.000223641378624854,5.47617135305242e-05,5.84419379346619e-06,0.00042630591712613,0,0,5.57105133166697e-05,0,0,0,0,0,6.0980815435464e-05,0.000133488179621694,0,0
"ASV_291",0,0,0.000235256243576885,0,0,0.000100462125778581,0.000174023627053981,0.000112359550561798,0.00037578629196961,0.000315764906162907,0.00115658596850932,0.00190421953693652,0,0,0,0,0,0,0,0,3.97421529119075e-05,0,0.000528211284513806,3.43977526801582e-05,1.18756383155595e-05,0,3.62107611139879e-06,1.34885414840093e-05,0,0,0.000256311674996796,0,8.7143859988865e-05,0,5.34755783718023e-05,0,0.000124245210347141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.68444729647529e-05,0,0,0,0,0,0,0,0,0.00104107196829768,0.000165129505242862,0,0,0,0,0,0,7.95367778060575e-05
"ASV_1720",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000769618640694249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186883451470372,0,0
"ASV_1090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00501579045142114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000285980635025571,0,0,0,0.000165301551355059,0,0.000634200480528826,0.0011346495267844,0.000165735034879691,3.81776533469076e-05
"ASV_1002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000298113856561371,0.000926299788613638,0.00393224440411373,0.000459876666147646,0,0.000429508213096005,0,0.000961168781237985,0,0.000518021834378253,0,0.00114304048769727,0,0.000372735631041423,0,0.000233767751738648,0.000263903662982842,0,0,0,0,0,0,0,0,0,0,0,0
