;Fish_ID;Sample.type;Location;q1phy;is_increasing
AI2_1_D;AI2_1;Digesta;AI2;4.300290609;FALSE
AI2_1_M;AI2_1;Mucus;AI2;2.807488777;FALSE
AI2_2_D;AI2_2;Digesta;AI2;21.76075819;FALSE
AI2_2_M;AI2_2;Mucus;AI2;18.83786475;FALSE
AI2_3_D;AI2_3;Digesta;AI2;16.692868;FALSE
AI2_3_M;AI2_3;Mucus;AI2;15.95722973;FALSE
AI2_7_D;AI2_7;Digesta;AI2;9.676546988;FALSE
AI2_7_M;AI2_7;Mucus;AI2;7.283034405;FALSE
AI2_9_D;AI2_9;Digesta;AI2;21.11509143;TRUE
AI2_9_M;AI2_9;Mucus;AI2;21.13614418;TRUE
AI2_12_D;AI2_12;Digesta;AI2;4.722398729;FALSE
AI2_12_M;AI2_12;Mucus;AI2;2.269652773;FALSE
AI4_1_D;AI4_1;Digesta;AI4;4.078633016;FALSE
AI4_1_M;AI4_1;Mucus;AI4;2.601825867;FALSE
AI4_5_D;AI4_5;Digesta;AI4;2.220535211;TRUE
AI4_5_M;AI4_5;Mucus;AI4;2.681134293;TRUE
AI4_6_D;AI4_6;Digesta;AI4;3.778411449;FALSE
AI4_6_M;AI4_6;Mucus;AI4;3.524813792;FALSE
AI4_7_D;AI4_7;Digesta;AI4;4.280695699;FALSE
AI4_7_M;AI4_7;Mucus;AI4;3.950461199;FALSE
AI4_8_D;AI4_8;Digesta;AI4;4.737216024;FALSE
AI4_8_M;AI4_8;Mucus;AI4;2.665980447;FALSE
AI4_9_D;AI4_9;Digesta;AI4;4.124389318;FALSE
AI4_9_M;AI4_9;Mucus;AI4;3.777398124;FALSE
AI4_10_D;AI4_10;Digesta;AI4;7.058086782;FALSE
AI4_10_M;AI4_10;Mucus;AI4;3.419196696;FALSE
AI6_2_D;AI6_2;Digesta;AI6;7.42011918;FALSE
AI6_2_M;AI6_2;Mucus;AI6;3.691128063;FALSE
AI6_4_D;AI6_4;Digesta;AI6;6.257954554;FALSE
AI6_4_M;AI6_4;Mucus;AI6;3.958802425;FALSE
AI6_5_D;AI6_5;Digesta;AI6;5.958313654;FALSE
AI6_5_M;AI6_5;Mucus;AI6;4.841361331;FALSE
AI6_6_D;AI6_6;Digesta;AI6;5.410663945;FALSE
AI6_6_M;AI6_6;Mucus;AI6;5.100214579;FALSE
AI6_10_D;AI6_10;Digesta;AI6;3.029892236;FALSE
AI6_10_M;AI6_10;Mucus;AI6;2.463839454;FALSE
AI6_11_D;AI6_11;Digesta;AI6;5.522334445;FALSE
AI6_11_M;AI6_11;Mucus;AI6;3.710256004;FALSE
AI6_12_D;AI6_12;Digesta;AI6;3.679491847;FALSE
AI6_12_M;AI6_12;Mucus;AI6;3.094379654;FALSE
AI7_1_D;AI7_1;Digesta;AI7;2.763818035;FALSE
AI7_1_M;AI7_1;Mucus;AI7;2.744084247;FALSE
AI7_2_D;AI7_2;Digesta;AI7;2.153512711;TRUE
AI7_2_M;AI7_2;Mucus;AI7;3.017617442;TRUE
AI7_3_D;AI7_3;Digesta;AI7;5.341089154;FALSE
AI7_3_M;AI7_3;Mucus;AI7;2.973149077;FALSE
AI7_4_D;AI7_4;Digesta;AI7;2.517810966;TRUE
AI7_4_M;AI7_4;Mucus;AI7;2.551513719;TRUE
AI7_5_D;AI7_5;Digesta;AI7;4.058029688;TRUE
AI7_5_M;AI7_5;Mucus;AI7;4.379844985;TRUE
AI7_10_D;AI7_10;Digesta;AI7;1.749843384;TRUE
AI7_10_M;AI7_10;Mucus;AI7;1.923983541;TRUE
AI7_11_D;AI7_11;Digesta;AI7;2.13557246;FALSE
AI7_11_M;AI7_11;Mucus;AI7;2.022591279;FALSE
