;Fish_ID;Sample.type;Location;q1phy;is_increasing
GH2_1_D;GH2_1;Digesta;GH2;4.214773509;FALSE
GH2_1_M;GH2_1;Mucus;GH2;2.834226921;FALSE
GH2_2_D;GH2_2;Digesta;GH2;4.29699528;FALSE
GH2_2_M;GH2_2;Mucus;GH2;3.169338154;FALSE
GH2_3_D;GH2_3;Digesta;GH2;2.606530979;FALSE
GH2_3_M;GH2_3;Mucus;GH2;2.347996525;FALSE
GH2_10_D;GH2_10;Digesta;GH2;4.644374222;FALSE
GH2_10_M;GH2_10;Mucus;GH2;3.690646434;FALSE
GH2_11_D;GH2_11;Digesta;GH2;4.931395357;FALSE
GH2_11_M;GH2_11;Mucus;GH2;3.674023879;FALSE
GH3_2_D;GH3_2;Digesta;GH3;3.619747489;TRUE
GH3_2_M;GH3_2;Mucus;GH3;3.754228475;TRUE
GH3_3_D;GH3_3;Digesta;GH3;10.46587544;FALSE
GH3_3_M;GH3_3;Mucus;GH3;7.647838543;FALSE
GH3_6_D;GH3_6;Digesta;GH3;3.598917996;FALSE
GH3_6_M;GH3_6;Mucus;GH3;1.675412696;FALSE
GH3_7_D;GH3_7;Digesta;GH3;2.20926416;TRUE
GH3_7_M;GH3_7;Mucus;GH3;9.86241421;TRUE
GH3_9_D;GH3_9;Digesta;GH3;1.952745492;FALSE
GH3_9_M;GH3_9;Mucus;GH3;1.135382658;FALSE
GH3_10_D;GH3_10;Digesta;GH3;5.286741587;FALSE
GH3_10_M;GH3_10;Mucus;GH3;4.299166774;FALSE
GH4_2_D;GH4_2;Digesta;GH4;8.511998746;FALSE
GH4_2_M;GH4_2;Mucus;GH4;2.365132652;FALSE
GH4_3_D;GH4_3;Digesta;GH4;8.436102162;TRUE
GH4_3_M;GH4_3;Mucus;GH4;9.945873972;TRUE
GH4_4_D;GH4_4;Digesta;GH4;6.637022244;FALSE
GH4_4_M;GH4_4;Mucus;GH4;2.34279183;FALSE
GH4_5_D;GH4_5;Digesta;GH4;5.865350747;FALSE
GH4_5_M;GH4_5;Mucus;GH4;2.116721089;FALSE
GH4_6_D;GH4_6;Digesta;GH4;7.975719053;FALSE
GH4_6_M;GH4_6;Mucus;GH4;3.40999331;FALSE
GH4_7_D;GH4_7;Digesta;GH4;3.430712813;FALSE
GH4_7_M;GH4_7;Mucus;GH4;2.883700282;FALSE
GH4_10_D;GH4_10;Digesta;GH4;11.36632261;FALSE
GH4_10_M;GH4_10;Mucus;GH4;8.319541287;FALSE
GH4_11_D;GH4_11;Digesta;GH4;5.927435528;FALSE
GH4_11_M;GH4_11;Mucus;GH4;1.407866038;FALSE
GH4_12_D;GH4_12;Digesta;GH4;4.095221048;TRUE
GH4_12_M;GH4_12;Mucus;GH4;7.063039968;TRUE
GH5_2_D;GH5_2;Digesta;GH5;9.461349982;FALSE
GH5_2_M;GH5_2;Mucus;GH5;3.689090869;FALSE
GH5_3_D;GH5_3;Digesta;GH5;1.933772588;FALSE
GH5_3_M;GH5_3;Mucus;GH5;1.644897261;FALSE
GH5_4_D;GH5_4;Digesta;GH5;1.619815827;TRUE
GH5_4_M;GH5_4;Mucus;GH5;3.912920742;TRUE
GH5_6_D;GH5_6;Digesta;GH5;1.743320081;FALSE
GH5_6_M;GH5_6;Mucus;GH5;1.573938035;FALSE
GH5_7_D;GH5_7;Digesta;GH5;4.744821377;FALSE
GH5_7_M;GH5_7;Mucus;GH5;4.703867988;FALSE
GH5_10_D;GH5_10;Digesta;GH5;2.94908978;FALSE
GH5_10_M;GH5_10;Mucus;GH5;1.847445006;FALSE
