;Fish_ID;Sample.type;Location;q1phy;is_increasing
VH4_4_D;VH4_4;Digesta;VH4;1.547152575;FALSE
VH4_4_M;VH4_4;Mucus;VH4;1.241260599;FALSE
VH4_6_D;VH4_6;Digesta;VH4;2.95099169;FALSE
VH4_6_M;VH4_6;Mucus;VH4;1.356150596;FALSE
VH4_7_D;VH4_7;Digesta;VH4;2.810210764;FALSE
VH4_7_M;VH4_7;Mucus;VH4;1.191831058;FALSE
VH4_8_D;VH4_8;Digesta;VH4;2.730583397;FALSE
VH4_8_M;VH4_8;Mucus;VH4;1.296868641;FALSE
VH4_11_D;VH4_11;Digesta;VH4;2.760903504;TRUE
VH4_11_M;VH4_11;Mucus;VH4;2.885277058;TRUE
VH4_12_D;VH4_12;Digesta;VH4;1.190392478;FALSE
VH4_12_M;VH4_12;Mucus;VH4;1.114454179;FALSE
VH5_2_D;VH5_2;Digesta;VH5;2.983339687;FALSE
VH5_2_M;VH5_2;Mucus;VH5;1.526209894;FALSE
VH5_5_D;VH5_5;Digesta;VH5;3.429567616;FALSE
VH5_5_M;VH5_5;Mucus;VH5;1.462991233;FALSE
VH5_6_D;VH5_6;Digesta;VH5;1.308396372;FALSE
VH5_6_M;VH5_6;Mucus;VH5;1.23734803;FALSE
VH5_8_D;VH5_8;Digesta;VH5;1.348412194;FALSE
VH5_8_M;VH5_8;Mucus;VH5;1.21704483;FALSE
VH5_9_D;VH5_9;Digesta;VH5;2.085085638;FALSE
VH5_9_M;VH5_9;Mucus;VH5;1.250513254;FALSE
VH5_11_D;VH5_11;Digesta;VH5;2.164069167;FALSE
VH5_11_M;VH5_11;Mucus;VH5;1.965620535;FALSE
VH6_2_D;VH6_2;Digesta;VH6;1.400741475;TRUE
VH6_2_M;VH6_2;Mucus;VH6;1.530737538;TRUE
VH6_3_D;VH6_3;Digesta;VH6;1.568784021;FALSE
VH6_3_M;VH6_3;Mucus;VH6;1.472306596;FALSE
VH6_4_D;VH6_4;Digesta;VH6;3.046096504;FALSE
VH6_4_M;VH6_4;Mucus;VH6;1.639498177;FALSE
VH6_5_D;VH6_5;Digesta;VH6;2.960680753;FALSE
VH6_5_M;VH6_5;Mucus;VH6;1.85269;FALSE
VH6_7_D;VH6_7;Digesta;VH6;2.478222919;FALSE
VH6_7_M;VH6_7;Mucus;VH6;1.54130021;FALSE
VH6_8_D;VH6_8;Digesta;VH6;1.590476453;TRUE
VH6_8_M;VH6_8;Mucus;VH6;1.832489241;TRUE
VH6_10_D;VH6_10;Digesta;VH6;1.440074341;TRUE
VH6_10_M;VH6_10;Mucus;VH6;1.695205463;TRUE
VH6_11_D;VH6_11;Digesta;VH6;2.275798513;FALSE
VH6_11_M;VH6_11;Mucus;VH6;1.396832543;FALSE
VH6_12_D;VH6_12;Digesta;VH6;3.65470279;TRUE
VH6_12_M;VH6_12;Mucus;VH6;3.681464824;TRUE
