"","Fish_ID","Sample.type","Location","Plate","Sample_or_Control","Pair","Origin","Species","SampleID","Salinity","Temperature","Diet","Plant","Invertebrates","High_plant","Sex","Lenght","Weight","Fultons","Habitat_type","Distance_ocean","Cooccurence","is.neg"
"VH4_4_D","VH4_4","Digesta","VH4",20,"True Sample","Yes","Wild","Valencia hispanica","VH4_4_D",0.85,25.9,"Yes",98.3,1.7,"","Female",51.5,1805,1.3,"Pond",0.07,"No",FALSE
"VH4_4_M","VH4_4","Mucus","VH4",20,"True Sample","Yes","Wild","Valencia hispanica","VH4_4_M",0.85,25.9,"Yes",98.3,1.7,"","Female",51.5,1805,1.3,"Pond",0.07,"No",FALSE
"VH4_6_D","VH4_6","Digesta","VH4",20,"True Sample","Yes","Wild","Valencia hispanica","VH4_6_D",0.85,25.9,"Yes",95.2,4.8,"","Female",46.1,1353,1.4,"Pond",0.07,"No",FALSE
"VH4_6_M","VH4_6","Mucus","VH4",20,"True Sample","Yes","Wild","Valencia hispanica","VH4_6_M",0.85,25.9,"Yes",95.2,4.8,"","Female",46.1,1353,1.4,"Pond",0.07,"No",FALSE
"VH4_7_D","VH4_7","Digesta","VH4",20,"True Sample","Yes","Wild","Valencia hispanica","VH4_7_D",0.85,25.9,"Yes",83.3,16.7,"","Female",52.2,1880,1.3,"Pond",0.07,"No",FALSE
"VH4_7_M","VH4_7","Mucus","VH4",20,"True Sample","Yes","Wild","Valencia hispanica","VH4_7_M",0.85,25.9,"Yes",83.3,16.7,"","Female",52.2,1880,1.3,"Pond",0.07,"No",FALSE
"VH4_8_D","VH4_8","Digesta","VH4",21,"True Sample","Yes","Wild","Valencia hispanica","VH4_8_D",0.85,25.9,"Yes",55.4,44.6,"","Female",57.4,2385,1.3,"Pond",0.07,"No",FALSE
"VH4_8_M","VH4_8","Mucus","VH4",21,"True Sample","Yes","Wild","Valencia hispanica","VH4_8_M",0.85,25.9,"Yes",55.4,44.6,"","Female",57.4,2385,1.3,"Pond",0.07,"No",FALSE
"VH4_11_D","VH4_11","Digesta","VH4",21,"True Sample","Yes","Wild","Valencia hispanica","VH4_11_D",0.85,25.9,"Yes",97.1,2.9,"","Male",54.9,2500,1.5,"Pond",0.07,"No",FALSE
"VH4_11_M","VH4_11","Mucus","VH4",21,"True Sample","Yes","Wild","Valencia hispanica","VH4_11_M",0.85,25.9,"Yes",97.1,2.9,"","Male",54.9,2500,1.5,"Pond",0.07,"No",FALSE
"VH4_12_D","VH4_12","Digesta","VH4",21,"True Sample","Yes","Wild","Valencia hispanica","VH4_12_D",0.85,25.9,"Yes",2.5,97.5,"","Female",53.4,2264,1.5,"Pond",0.07,"No",FALSE
"VH4_12_M","VH4_12","Mucus","VH4",21,"True Sample","Yes","Wild","Valencia hispanica","VH4_12_M",0.85,25.9,"Yes",2.5,97.5,"","Female",53.4,2264,1.5,"Pond",0.07,"No",FALSE
"VH5_2_D","VH5_2","Digesta","VH5",20,"True Sample","Yes","Captivity","Valencia hispanica","VH5_2_D",0.88,26,"Yes",95.4,4.6,"","Male",48.5,1490,1.3,"Pond",2.17,"No",FALSE
"VH5_2_M","VH5_2","Mucus","VH5",20,"True Sample","Yes","Captivity","Valencia hispanica","VH5_2_M",0.88,26,"Yes",95.4,4.6,"","Male",48.5,1490,1.3,"Pond",2.17,"No",FALSE
"VH5_5_D","VH5_5","Digesta","VH5",20,"True Sample","Yes","Captivity","Valencia hispanica","VH5_5_D",0.88,26,"Yes",98.2,1.8,"","Male",40.6,837,1.3,"Pond",2.17,"No",FALSE
"VH5_5_M","VH5_5","Mucus","VH5",20,"True Sample","Yes","Captivity","Valencia hispanica","VH5_5_M",0.88,26,"Yes",98.2,1.8,"","Male",40.6,837,1.3,"Pond",2.17,"No",FALSE
"VH5_6_D","VH5_6","Digesta","VH5",20,"True Sample","Yes","Captivity","Valencia hispanica","VH5_6_D",0.88,26,"No",NA,NA,"","Female",49,1493,1.3,"Pond",2.17,"No",FALSE
"VH5_6_M","VH5_6","Mucus","VH5",20,"True Sample","Yes","Captivity","Valencia hispanica","VH5_6_M",0.88,26,"No",NA,NA,"","Female",49,1493,1.3,"Pond",2.17,"No",FALSE
"VH5_8_D","VH5_8","Digesta","VH5",21,"True Sample","Yes","Captivity","Valencia hispanica","VH5_8_D",0.88,26,"Yes",37.4,62.6,"","Female",40.1,799,1.2,"Pond",2.17,"No",FALSE
"VH5_8_M","VH5_8","Mucus","VH5",21,"True Sample","Yes","Captivity","Valencia hispanica","VH5_8_M",0.88,26,"Yes",37.4,62.6,"","Female",40.1,799,1.2,"Pond",2.17,"No",FALSE
"VH5_9_D","VH5_9","Digesta","VH5",21,"True Sample","Yes","Captivity","Valencia hispanica","VH5_9_D",0.88,26,"Yes",61.6,38.4,"","Female",46.3,1340,1.4,"Pond",2.17,"No",FALSE
"VH5_9_M","VH5_9","Mucus","VH5",21,"True Sample","Yes","Captivity","Valencia hispanica","VH5_9_M",0.88,26,"Yes",61.6,38.4,"","Female",46.3,1340,1.4,"Pond",2.17,"No",FALSE
"VH5_11_D","VH5_11","Digesta","VH5",21,"True Sample","Yes","Captivity","Valencia hispanica","VH5_11_D",0.88,26,"Yes",99.5,0.5,"","Female",52.1,1800,1.3,"Pond",2.17,"No",FALSE
"VH5_11_M","VH5_11","Mucus","VH5",21,"True Sample","Yes","Captivity","Valencia hispanica","VH5_11_M",0.88,26,"Yes",99.5,0.5,"","Female",52.1,1800,1.3,"Pond",2.17,"No",FALSE
"VH6_2_D","VH6_2","Digesta","VH6",20,"True Sample","Yes","Wild","Valencia hispanica","VH6_2_D",0.42,24.6,"Yes",18.7,81.3,"","Female",62.9,3360,1.3,"Stream",25.4,"Yes",FALSE
"VH6_2_M","VH6_2","Mucus","VH6",20,"True Sample","Yes","Wild","Valencia hispanica","VH6_2_M",0.42,24.6,"Yes",18.7,81.3,"","Female",62.9,3360,1.3,"Stream",25.4,"Yes",FALSE
"VH6_3_D","VH6_3","Digesta","VH6",20,"True Sample","Yes","Wild","Valencia hispanica","VH6_3_D",0.42,24.6,"Yes",32.4,67.6,"","Female",38,637,1.2,"Stream",25.4,"Yes",FALSE
"VH6_3_M","VH6_3","Mucus","VH6",20,"True Sample","Yes","Wild","Valencia hispanica","VH6_3_M",0.42,24.6,"Yes",32.4,67.6,"","Female",38,637,1.2,"Stream",25.4,"Yes",FALSE
"VH6_4_D","VH6_4","Digesta","VH6",21,"True Sample","Yes","Wild","Valencia hispanica","VH6_4_D",0.42,24.6,"Yes",30,70,"","Male",46.4,1373,1.4,"Stream",25.4,"Yes",FALSE
"VH6_4_M","VH6_4","Mucus","VH6",20,"True Sample","Yes","Wild","Valencia hispanica","VH6_4_M",0.42,24.6,"Yes",30,70,"","Male",46.4,1373,1.4,"Stream",25.4,"Yes",FALSE
"VH6_5_D","VH6_5","Digesta","VH6",21,"True Sample","Yes","Wild","Valencia hispanica","VH6_5_D",0.42,24.6,"Yes",34.7,65.3,"","Female",50,1583,1.3,"Stream",25.4,"Yes",FALSE
"VH6_5_M","VH6_5","Mucus","VH6",21,"True Sample","Yes","Wild","Valencia hispanica","VH6_5_M",0.42,24.6,"Yes",34.7,65.3,"","Female",50,1583,1.3,"Stream",25.4,"Yes",FALSE
"VH6_7_D","VH6_7","Digesta","VH6",21,"True Sample","Yes","Wild","Valencia hispanica","VH6_7_D",0.42,24.6,"Yes",2.4,97.6,"","Male",32.5,461,1.3,"Stream",25.4,"Yes",FALSE
"VH6_7_M","VH6_7","Mucus","VH6",21,"True Sample","Yes","Wild","Valencia hispanica","VH6_7_M",0.42,24.6,"Yes",2.4,97.6,"","Male",32.5,461,1.3,"Stream",25.4,"Yes",FALSE
"VH6_8_D","VH6_8","Digesta","VH6",21,"True Sample","Yes","Wild","Valencia hispanica","VH6_8_D",0.42,24.6,"Yes",18.7,81.3,"","Female",45.6,1276,1.3,"Stream",25.4,"Yes",FALSE
"VH6_8_M","VH6_8","Mucus","VH6",21,"True Sample","Yes","Wild","Valencia hispanica","VH6_8_M",0.42,24.6,"Yes",18.7,81.3,"","Female",45.6,1276,1.3,"Stream",25.4,"Yes",FALSE
"VH6_10_D","VH6_10","Digesta","VH6",21,"True Sample","Yes","Wild","Valencia hispanica","VH6_10_D",0.42,24.6,"Yes",27.9,72.1,"","Male",39.1,792,1.3,"Stream",25.4,"Yes",FALSE
"VH6_10_M","VH6_10","Mucus","VH6",21,"True Sample","Yes","Wild","Valencia hispanica","VH6_10_M",0.42,24.6,"Yes",27.9,72.1,"","Male",39.1,792,1.3,"Stream",25.4,"Yes",FALSE
"VH6_11_D","VH6_11","Digesta","VH6",22,"True Sample","Yes","Wild","Valencia hispanica","VH6_11_D",0.42,24.6,"No",NA,NA,"","Male",47.4,1596,1.5,"Stream",25.4,"Yes",FALSE
"VH6_11_M","VH6_11","Mucus","VH6",22,"True Sample","Yes","Wild","Valencia hispanica","VH6_11_M",0.42,24.6,"No",NA,NA,"","Male",47.4,1596,1.5,"Stream",25.4,"Yes",FALSE
"VH6_12_D","VH6_12","Digesta","VH6",22,"True Sample","Yes","Wild","Valencia hispanica","VH6_12_D",0.42,24.6,"No",NA,NA,"","Female",36.6,630,1.3,"Stream",25.4,"Yes",FALSE
"VH6_12_M","VH6_12","Mucus","VH6",22,"True Sample","Yes","Wild","Valencia hispanica","VH6_12_M",0.42,24.6,"No",NA,NA,"","Female",36.6,630,1.3,"Stream",25.4,"Yes",FALSE
